规则名称,严重级别,规则说明,规则识别字符串
golint/naming,提示,"receiver名称%s应该与之前的%s %s保持一致","receiver name \w* should be consistent with previous receiver name \w* for \w*"
golint/naming,提示,"package名称不应该有下划线","don't use an underscore in package name"
golint/mixed-caps,提示,"package名不要使用MixedCaps格式命名;％s应该是％s","don't use MixedCaps in package name; \w* should be \w*"
golint/range-loop,提示,"应该省略range的值；这个循环等效与 `for range ...`","should omit values from range; this loop is equivalent to `for range \.\.\.`"
golint/range-loop,提示,"应该省略range的第二个值；这个循环等效于`for %s %s range ...`","should omit 2nd value from range; this loop is equivalent to `for \S* \S* range \.\.\.`"
golint/print,提示,"%s(fmt.Sprintf(...)) 不符合要求，应该使用 %s.Errorf(...)替换之","should replace \w*\(fmt\.Sprintf(\.\.\.)\) with \w*\.Errorf\(\.\.\.\)"
golint/unary-op,提示,"可以将 %s 写成 %s%s","should replace .* with .*"
golint/indent,提示,"if语块以return语句结束，那么可以删去else分支并将else内的语句移到if语块外","if block ends with a return statement, so drop this else and outdent its block"
golint/unexported-type-in-api,提示,"exported类型 %s %s 返回unexported类型 %s，这会造成使用上的困扰","exported \w* \S* returns unexported type \S*, which can be annoying to use"
golint/string,提示,"错误字符串不应该大写，或者标点符号、新行结尾","error strings should not be capitalized or end with punctuation or a newline"
golint/time,提示,"var %s 是类型 %v，不要使用unit-specific后缀 %q","var \w* is of type \w*; don't use unit-specific suffix \w*"
golint/context,提示,"不应该使用基础类型 %s 作为context.WithValue的key","should not use basic type \w* as key in context\.WithValue"
gosimple/boolcmp,警告,"应该省略bool常量的比较，可以简化为：%s","should omit comparison to bool constant, can be simplified to \w*"
gosimple/copy,警告,"应该使用copy()而不是循环","should use copy\(\) instead of a loop"
gosimple/for,警告,"应该使用for range，而不是 for select{}","should use for range instead of for { select {} }"
gosimple/sendrecv,警告,"应该使用简单通道的send/receive，而不是select","should use a simple channel send/receive instead of select with a single case"
gosimple/usageadvice,警告,"应该使用%v.String()方法而不是%v","should use \w*\.String\(\) instead of \w*"
gosimple/usageadvice,警告,"应该使用%v.Bytes()方法而不是%v","should use \w*\.Bytes\(\) instead of \w*"
gosimple/usageadvice,警告,"应该使用 %s%s.%s(%s)","should use \w*\.\w*\(\w*\) instead"
gosimple/usageadvice,警告,"应该使用%sbytes.Equal(%s)","should use \w*bytes\.Equal\(\w*\) instead"
gosimple/usageadvice,警告,"应该使用 for {} 而不是 for true {}","should use for {} instead of for true {}"
gosimple/usageadvice,警告,"应该使用原生字符串 (`...`)及regexp.%s避免转义两次","should use raw string \(`\.\.\.`\) with regexp\.\w* to avoid having to escape twice"
gosimple/usageadvice,警告,"应该使用 'return '，而不是 'if { return }; return '","should use 'return <expr>' instead of 'if <expr> { return <bool> }; return <bool>'"
gosimple/usageadvice,警告,"应该省略nil检查；%s执行len()定义为0","should omit nil check; len\(\) for \w* is defined as zero"
gosimple/usageadvice,警告,"使用slice时应该省略第二个index，s[a:len(s)] 等效于 s[a:]","should omit second index in slice, s\[a:len\(s\)\] is identical to s\[a:\]"
